"id","clip","stimulus","trustworthy","wealthy","kind","intelligent","honest","educated","humorous","confident"
100,"attention_check_agree","","6","6","6","6","6","6","6","6"
100,"attention_check_disagree","","0","0","0","0","0","0","0","0"
100,"attention_check_neutral","","3","4","2","4","4","5","1","4"
100,"beijing_clip1","","4","4","3","4","4","4","3","5"
100,"beijing_clip2","","4","4","4","4","5","4","4","5"
100,"beijing_clip3","","4","3","4","4","4","4","4","5"
100,"beijing_clip4","","4","4","4","5","4","4","3","5"
100,"beijing_clip5","","3","5","3","6","3","5","3","6"
100,"dongbei_clip1","","4","3","4","3","4","3","3","4"
100,"dongbei_clip2","","2","2","4","3","2","2","3","2"
100,"dongbei_clip3","","4","3","4","4","4","3","4","3"
100,"dongbei_clip5","","4","2","4","3","3","2","3","3"
100,"dongbei_clip7","","4","2","4","3","4","3","3","2"
100,"guangdong_clip1","","2","2","3","2","4","2","3","2"
100,"guangdong_clip2","","2","2","4","3","2","2","3","4"
100,"guangdong_clip3","","3","3","3","3","3","3","3","3"
100,"guangdong_clip5","","2","2","1","2","1","2","2","2"
100,"guangdong_clip7","","2","2","3","3","2","2","3","2"
100,"sichuan_clip1","","4","2","3","2","4","2","2","4"
100,"sichuan_clip2","","4","2","4","3","5","3","4","4"
100,"sichuan_clip3","","3","2","4","2","3","2","3","3"
100,"sichuan_clip5","","4","2","4","3","4","4","4","4"
100,"sichuan_clip7","","2","2","4","2","2","2","3","3"
100,"singapore_clip1","","4","3","4","4","4","4","3","4"
100,"singapore_clip2","","4","3","4","3","4","3","3","3"
100,"singapore_clip3","","4","3","5","4","5","3","3","4"
100,"singapore_clip5","","4","3","5","4","4","3","3","4"
100,"singapore_clip7","","4","3","5","4","5","3","3","5"
100,"standard_clip1","","4","3","3","4","4","4","3","5"
100,"standard_clip2","","4","3","4","4","4","3","3","5"
100,"standard_clip3","","4","3","3","3","3","3","3","3"
100,"standard_clip5","","4","4","4","4","4","4","3","5"
100,"standard_clip7","","4","4","4","4","4","4","4","5"
100,"taiwan_clip1","","4","4","4","5","4","5","3","5"
100,"taiwan_clip2","","5","5","5","5","5","5","3","6"
