"id","clip","stimulus","trustworthy","wealthy","kind","intelligent","honest","educated","humorous","confident"
103,"beijing_clip1","","3","3","3","3","3","3","3","4"
103,"beijing_clip2","","3","3","3","3","3","3","3","3"
103,"beijing_clip3","","3","3","3","3","3","4","3","4"
103,"beijing_clip4","","4","3","3","4","3","3","3","5"
103,"beijing_clip5","","3","4","3","4","3","4","3","4"
103,"dongbei_clip1","","3","3","3","3","3","3","3","3"
103,"dongbei_clip2","","3","3","3","3","3","3","3","2"
103,"dongbei_clip3","","3","3","3","3","3","3","3","2"
103,"dongbei_clip5","","3","3","3","3","3","3","3","3"
103,"dongbei_clip7","","3","3","3","3","3","3","3","3"
103,"guangdong_clip1","","3","3","3","2","3","2","3","2"
103,"guangdong_clip2","","3","3","3","3","3","3","3","1"
103,"guangdong_clip3","","2","3","3","3","3","3","3","2"
103,"guangdong_clip5","","2","3","3","3","3","3","3","2"
103,"guangdong_clip7","","3","3","3","3","3","3","3","2"
103,"sichuan_clip1","","3","3","3","3","3","3","3","3"
103,"sichuan_clip2","","3","3","3","3","3","3","3","3"
103,"sichuan_clip3","","3","3","3","3","3","3","3","3"
103,"sichuan_clip5","","3","3","3","3","3","3","3","3"
103,"sichuan_clip7","","3","3","3","3","3","3","3","3"
103,"singapore_clip1","","3","3","3","3","3","3","3","2"
103,"singapore_clip2","","3","3","3","3","3","3","3","3"
103,"singapore_clip3","","3","3","3","3","3","3","3","2"
103,"singapore_clip5","","3","3","3","3","3","3","3","4"
103,"singapore_clip7","","3","3","3","3","3","3","3","3"
103,"standard_clip1","","3","3","3","4","3","5","3","4"
103,"standard_clip2","","3","3","3","3","3","3","3","4"
103,"standard_clip3","","3","3","3","3","3","3","3","3"
103,"standard_clip5","","3","3","3","3","3","4","3","5"
103,"standard_clip7","","3","3","3","3","3","3","3","4"
103,"taiwan_clip1","","3","3","3","3","3","3","3","2"
103,"taiwan_clip2","","3","3","3","3","3","3","3","3"
103,"taiwan_clip3","","3","3","3","3","3","3","3","2"
103,"taiwan_clip5","","3","3","3","3","3","3","3","3"
103,"taiwan_clip7","","2","3","3","3","3","3","3","3"
103,"tianjin_clip1","","3","3","3","3","3","3","3","3"
103,"tianjin_clip2","","3","3","3","3","3","3","3","3"
103,"tianjin_clip3","","3","3","3","3","3","3","3","3"
103,"tianjin_clip5","","3","3","3","3","3","3","3","3"
103,"tianjin_clip7","","3","3","3","3","3","4","3","4"
105,"beijing_clip1","","4","4","4","4","4","4","4","4"
105,"beijing_clip2","","4","3","3","4","4","4","3","4"
105,"beijing_clip3","","4","3","4","4","4","4","4","4"
105,"beijing_clip4","","3","3","4","4","3","4","3","4"
105,"beijing_clip5","","3","3","4","4","4","4","3","4"
105,"dongbei_clip1","","3","3","4","4","4","4","4","4"
105,"dongbei_clip2","","4","3","4","4","4","4","4","4"
105,"dongbei_clip3","","4","3","4","4","4","4","4","4"
105,"dongbei_clip5","","4","3","4","4","4","4","2","2"
105,"dongbei_clip7","","3","3","2","4","3","4","4","4"
105,"guangdong_clip1","","4","3","4","4","4","4","3","4"
105,"guangdong_clip2","","3","3","3","3","3","3","2","2"
105,"guangdong_clip3","","4","3","4","2","4","2","4","2"
