id,clip,stimulus,trustworthy,wealthy,kind,intelligent,honest,educated,humorous,confident,accent
103,beijing_clip1,NA,3,3,3,3,3,3,3,4,beijing
103,beijing_clip2,NA,3,3,3,3,3,3,3,3,beijing
103,beijing_clip3,NA,3,3,3,3,3,4,3,4,beijing
103,beijing_clip4,NA,4,3,3,4,3,3,3,5,beijing
103,beijing_clip5,NA,3,4,3,4,3,4,3,4,beijing
105,beijing_clip1,NA,4,4,4,4,4,4,4,4,beijing
105,beijing_clip2,NA,4,3,3,4,4,4,3,4,beijing
105,beijing_clip3,NA,4,3,4,4,4,4,4,4,beijing
105,beijing_clip4,NA,3,3,4,4,3,4,3,4,beijing
105,beijing_clip5,NA,3,3,4,4,4,4,3,4,beijing
117,beijing_clip1,NA,5,6,4,4,5,5,4,6,beijing
117,beijing_clip2,NA,2,2,2,4,2,4,4,4,beijing
117,beijing_clip3,NA,5,4,5,5,5,6,1,6,beijing
117,beijing_clip4,NA,6,6,5,5,5,5,1,5,beijing
117,beijing_clip5,NA,4,4,4,4,2,4,2,4,beijing
130,beijing_clip1,NA,4,4,4,4,4,4,4,5,beijing
130,beijing_clip2,NA,4,3,4,4,4,4,3,4,beijing
130,beijing_clip3,NA,3,3,3,3,3,3,3,3,beijing
130,beijing_clip4,NA,4,4,4,4,4,4,4,4,beijing
130,beijing_clip5,NA,4,3,4,4,4,4,3,5,beijing
147,beijing_clip1,NA,4,4,1,4,3,3,2,3,beijing
147,beijing_clip2,NA,3,3,4,4,2,4,4,5,beijing
147,beijing_clip3,NA,4,4,4,3,4,4,2,5,beijing
147,beijing_clip4,NA,3,4,3,4,4,3,3,4,beijing
147,beijing_clip5,NA,5,4,4,3,3,3,3,4,beijing
153,beijing_clip1,NA,4,4,4,4,4,4,3,4,beijing
153,beijing_clip2,NA,5,5,5,5,5,5,3,5,beijing
153,beijing_clip3,NA,5,4,4,4,5,4,3,5,beijing
153,beijing_clip4,NA,5,4,4,4,4,4,3,4,beijing
